datum_dolaska,ukupan_broj_gostiju,broj_djece_gostiju,broj_odraslih_gostiju
2016-06-22,249,11,238
2016-06-23,246,19,227
2016-06-24,369,21,348
2016-06-25,236,21,215
2016-06-26,358,15,343
2016-06-27,325,22,303
2016-06-28,266,18,248
2016-06-29,195,11,184
2016-06-30,368,26,342
2016-07-01,294,31,263
2016-07-02,302,23,279
2016-07-03,220,22,198
2016-07-04,299,32,267
2016-07-05,258,18,240
2016-07-06,245,17,228
2016-07-07,272,20,252
2016-07-08,256,18,238
2016-07-09,319,27,292
2016-07-10,217,16,201
2016-07-11,330,38,292
2016-07-12,233,11,222
2016-07-13,277,25,252
2016-07-14,311,35,276
2016-07-15,304,33,271
2016-07-16,353,22,331
2016-07-17,279,17,262
2016-07-18,367,37,330
2016-07-19,267,25,242
2016-07-20,307,22,285
2016-07-21,426,37,389
2016-07-22,316,28,288
2016-07-23,376,45,331
2016-07-24,297,29,268
2016-07-25,366,28,338
2016-07-26,269,24,245
2016-07-27,265,26,239
2016-07-28,327,32,295
2016-07-29,245,25,220
2016-07-30,380,39,341
2016-07-31,261,26,235
2016-08-01,394,51,343
2016-08-02,253,36,217
2016-08-03,243,26,217
2016-08-04,307,31,276
2016-08-05,282,43,239
2016-08-06,319,33,286
2016-08-07,299,36,263
2016-08-08,425,53,372
2016-08-09,211,18,193
2016-08-10,240,18,222
2016-08-11,330,24,306
2016-08-12,296,29,267
2016-08-13,405,51,354
2016-08-14,270,30,240
2016-08-15,341,35,306
2016-08-16,295,36,259
2016-08-17,299,39,260
2016-08-18,358,22,336
2016-08-19,297,39,258
2016-08-20,403,35,368
2016-08-21,291,36,255
2016-08-22,359,35,324
2016-08-23,230,24,206
2016-08-24,244,21,223
2016-08-25,327,23,304
2016-08-26,319,31,288
2016-08-27,274,16,258
2016-08-28,295,26,269
2016-08-29,295,21,274
2016-08-30,257,27,230
2016-08-31,199,20,179
2016-09-01,409,25,384
2016-09-02,364,32,332
2016-09-03,370,14,356
2016-09-04,283,28,255
2016-09-05,390,17,373
2016-09-06,206,13,193
2016-09-07,227,9,218
2016-09-08,427,12,415
2016-09-09,438,15,423
2016-09-10,245,9,236
2016-09-11,362,28,334
2016-09-12,330,22,308
2016-09-13,305,8,297
2016-09-14,240,12,228
2016-09-15,610,27,583
2016-09-16,431,20,411
2016-09-17,238,11,227
2016-09-18,343,19,324
2016-09-19,413,7,406
2016-09-20,427,25,402
2016-09-21,380,7,373
2016-09-22,368,5,363
2016-09-23,300,15,285
2016-09-24,276,30,246
2016-09-25,297,9,288
2016-09-26,582,12,570
2016-09-27,227,11,216
2016-09-28,244,7,237
2016-09-29,341,6,335
2016-09-30,567,16,551
2016-10-01,369,15,354
2016-10-02,360,17,343
2016-10-03,337,17,320
2016-10-04,349,17,332
2016-10-05,378,9,369
2016-10-06,555,17,538
2016-10-07,382,30,352
2016-10-08,356,19,337
2016-10-09,471,13,458
2016-10-10,326,19,307
2016-10-11,314,7,307
2016-10-12,464,11,453
2016-10-13,460,16,444
2016-10-14,306,12,294
2016-10-15,314,34,280
2016-10-16,507,31,476
2016-10-17,429,10,419
2016-10-18,345,15,330
2016-10-19,334,25,309
2016-10-20,532,23,509
2016-10-21,456,32,424
2016-10-22,397,39,358
2016-10-23,383,24,359
2016-10-24,361,24,337
2016-10-25,260,18,242
2016-10-26,393,19,374
2016-10-27,400,26,374
2016-10-28,547,34,513
2016-10-29,497,37,460
2016-10-30,407,17,390
2016-10-31,304,26,278
2016-11-01,439,27,412
2016-11-02,300,10,290
2016-11-03,481,9,472
2016-11-04,522,23,499
2016-11-05,428,16,412
2016-11-06,302,8,294
2016-11-07,608,11,597
2016-11-08,268,18,250
2016-11-09,239,11,228
2016-11-10,367,10,357
2016-11-11,433,15,418
2016-11-12,351,12,339
2016-11-13,368,10,358
2016-11-14,349,12,337
2016-11-15,266,16,250
2016-11-16,302,7,295
2016-11-17,418,10,408
2016-11-18,432,17,415
2016-11-19,338,23,315
2016-11-20,273,15,258
2016-11-21,379,16,363
2016-11-22,241,5,236
2016-11-23,226,9,217
2016-11-24,300,9,291
2016-11-25,431,30,401
2016-11-26,365,23,342
2016-11-27,233,15,218
2016-11-28,324,11,313
2016-11-29,296,21,275
2016-11-30,340,14,326
2016-12-01,518,18,500
2016-12-02,719,38,681
2016-12-03,684,36,648
2016-12-04,454,19,435
2016-12-05,558,11,547
2016-12-06,486,26,460
2016-12-07,571,19,552
2016-12-08,718,45,673
2016-12-09,467,10,457
2016-12-10,492,31,461
2016-12-11,332,16,316
2016-12-12,422,20,402
2016-12-13,449,17,432
2016-12-14,418,11,407
2016-12-15,433,16,417
2016-12-16,547,32,515
2016-12-17,605,28,577
2016-12-18,383,27,356
2016-12-19,468,28,440
2016-12-20,569,34,535
2016-12-21,563,34,529
2016-12-22,504,28,476
2016-12-23,532,46,486
2016-12-24,558,36,522
2016-12-25,409,31,378
2016-12-26,717,55,662
2016-12-27,682,45,637
2016-12-28,647,44,603
2016-12-29,669,57,612
2016-12-30,794,58,736
2016-12-31,322,24,298
