,hotel_id,datum_dolaska,datum_kreiranja_rezervacije,datum_odjave,datum_otkazivanja_rezervacije,broj_odraslih_gostiju,broj_djece_gostiju,zemlja_gosta,kanal_prodaje_id,tip_sobe_id,cijena_nocenja,status_rezervacije,rezervacija_id,gost_id,broj_nocenja,ukupno_placeno
247,0,2015-07-09,2015-02-07,2015-07-17,2015-05-13,2,0.0,PRT,2,1,180.1918777471454,Canceled,1313470,1044094,8.0,1441.5350219771633
262,0,2015-07-10,2014-08-16,2015-07-15,2015-06-29,2,0.0,PRT,2,3,53.51089177366606,Canceled,1313485,1018854,5.0,267.5544588683303
283,0,2015-07-11,2014-12-26,2015-07-17,2015-06-08,2,0.0,PRT,2,3,105.20416080752864,Canceled,1313506,1076141,6.0,631.2249648451718
310,0,2015-07-12,2014-06-05,2015-07-18,2015-05-12,2,0.0,PRT,2,1,175.4723989556531,Canceled,1313533,1096214,6.0,1052.8343937339187
320,0,2015-07-12,2015-02-01,2015-07-19,2015-07-03,2,0.0,PRT,2,1,125.0839719250768,Canceled,1313543,1035781,7.0,875.5878034755376
323,0,2015-07-12,2015-01-31,2015-07-20,2015-06-19,2,0.0,PRT,2,3,88.00499648397377,Canceled,1313546,1101887,8.0,704.0399718717902
328,0,2015-07-12,2015-07-09,2015-07-26,2015-07-12,2,10.0,PRT,2,2,230.33362968160125,No-Show,1313551,1038409,14.0,3224.6708155424176
343,0,2015-07-12,2015-06-24,2015-07-17,2015-07-12,2,0.0,PRT,2,5,117.81372271052656,No-Show,1313566,1030571,5.0,589.0686135526328
348,0,2015-07-13,2014-06-30,2015-07-20,2015-05-13,2,0.0,PRT,2,1,107.49439061906926,Canceled,1313571,1034033,7.0,752.4607343334849
364,0,2015-07-13,2015-03-20,2015-07-18,2015-06-24,2,0.0,PRT,2,2,73.81378944432413,Canceled,1313587,1100666,5.0,369.06894722162065
367,0,2015-07-13,2015-03-12,2015-07-18,2015-05-23,2,0.0,PRT,2,2,78.18985466488078,Canceled,1313590,1003305,5.0,390.9492733244039
369,0,2015-07-13,2015-03-26,2015-07-18,2015-06-22,2,0.0,PRT,2,2,338.45132469992086,Canceled,1313592,1101121,5.0,1692.2566234996043
371,0,2015-07-13,2015-05-02,2015-07-18,2015-06-01,2,0.0,PRT,2,2,133.83766632571817,Canceled,1313594,1034632,5.0,669.1883316285908
374,0,2015-07-13,2015-01-28,2015-07-19,2015-04-24,2,0.0,PRT,2,1,43.01254743294476,Canceled,1313597,1082300,6.0,258.07528459766854
375,0,2015-07-13,2015-04-09,2015-07-19,2015-05-12,2,0.0,PRT,2,1,147.25523914429832,Canceled,1313598,1026810,6.0,883.5314348657898
386,0,2015-07-14,2014-10-18,2015-07-15,2015-07-03,2,0.0,PRT,2,2,92.64254093326144,Canceled,1313609,1037939,1.0,92.64254093326144
390,0,2015-07-14,2014-07-23,2015-07-18,2015-05-27,2,0.0,PRT,2,3,172.31884458328304,Canceled,1313613,1042456,4.0,689.2753783331322
397,0,2015-07-14,2015-04-01,2015-07-21,2015-04-06,1,0.0,PRT,2,1,80.93984017750502,Canceled,1313620,1038109,7.0,566.5788812425351
400,0,2015-07-14,2014-12-14,2015-07-23,2015-04-11,2,0.0,PRT,2,1,87.6966953513351,Canceled,1313623,1053701,9.0,789.2702581620158
401,0,2015-07-14,2014-12-18,2015-07-23,2015-04-11,2,0.0,PRT,2,1,96.6231034645058,Canceled,1313624,1097567,9.0,869.6079311805522
408,0,2015-07-15,2014-12-30,2015-07-18,2015-07-03,2,0.0,PRT,2,1,142.52488702243184,Canceled,1313631,1046899,3.0,427.57466106729555
411,0,2015-07-15,2014-12-25,2015-07-22,2015-06-25,2,0.0,PRT,2,2,207.61344043299133,Canceled,1313634,1010329,7.0,1453.2940830309392
421,0,2015-07-15,2015-04-23,2015-07-17,2015-07-13,2,0.0,PRT,0,1,100.0,Canceled,1313644,1076447,2.0,200.0
434,0,2015-07-16,2015-03-09,2015-07-18,2015-07-02,2,2.0,PRT,2,4,173.12478215570218,Canceled,1313657,1000521,2.0,346.24956431140436
437,0,2015-07-16,2014-11-18,2015-07-17,2015-06-05,1,0.0,PRT,0,1,128.82479216723962,Canceled,1313660,1055464,1.0,128.82479216723962
438,0,2015-07-16,2015-05-01,2015-07-17,2015-07-16,2,0.0,PRT,2,5,173.39706839807036,Canceled,1313661,1059050,1.0,173.39706839807036
441,0,2015-07-16,2015-05-18,2015-07-18,2015-07-02,2,0.0,PRT,2,1,116.21841166718627,Canceled,1313664,1056656,2.0,232.43682333437255
445,0,2015-07-16,2014-07-24,2015-07-19,2015-07-13,2,0.0,PRT,0,1,156.21143401358373,Canceled,1313668,1058124,3.0,468.6343020407512
446,0,2015-07-16,2015-01-03,2015-07-19,2015-06-19,2,0.0,PRT,2,1,197.5063169098789,Canceled,1313669,1034608,3.0,592.5189507296367
447,0,2015-07-16,2015-03-16,2015-07-19,2015-06-30,2,0.0,PRT,2,1,187.96308063895006,Canceled,1313670,1026217,3.0,563.8892419168502
450,0,2015-07-16,2015-06-12,2015-07-21,2015-07-07,2,0.0,PRT,0,3,231.7621763979557,Canceled,1313673,1092487,5.0,1158.8108819897784
455,0,2015-07-16,2015-04-04,2015-07-22,2015-06-11,2,0.0,PRT,2,2,258.6562805199801,Canceled,1313678,1105790,6.0,1551.9376831198806
464,0,2015-07-17,2015-05-12,2015-07-19,2015-07-06,2,0.0,PRT,2,1,133.24007496643975,Canceled,1313687,1010529,2.0,266.4801499328795
465,0,2015-07-17,2014-10-20,2015-07-19,2015-07-13,2,0.0,PRT,0,1,132.66015681850612,Canceled,1313688,1070089,2.0,265.32031363701225
467,0,2015-07-17,2014-07-11,2015-07-19,2015-07-17,2,0.0,PRT,2,1,182.6198119617224,No-Show,1313690,1036862,2.0,365.2396239234448
472,0,2015-07-17,2014-11-12,2015-07-19,2015-07-17,1,0.0,PRT,2,1,185.64158499843393,No-Show,1313695,1004897,2.0,371.28316999686785
473,0,2015-07-17,2015-05-11,2015-07-20,2015-07-04,2,0.0,PRT,2,1,138.29573368758793,Canceled,1313696,1024491,3.0,414.8872010627638
486,0,2015-07-17,2014-12-18,2015-07-24,2015-06-24,2,2.0,PRT,0,4,118.53822457928871,Canceled,1313709,1065107,7.0,829.767572055021
504,0,2015-07-17,2015-05-15,2015-07-18,2015-07-17,2,0.0,PRT,0,7,158.78956779531734,Canceled,1313727,1019545,1.0,158.78956779531734
511,0,2015-07-18,2015-01-23,2015-07-24,2015-07-18,2,2.0,PRT,2,0,295.4370136222232,Canceled,1313734,1102419,6.0,1772.6220817333392
517,0,2015-07-18,2014-10-10,2015-07-22,2015-06-04,2,1.0,PRT,2,3,119.01534972618983,Canceled,1313740,1046492,4.0,476.0613989047593
518,0,2015-07-18,2015-05-24,2015-07-23,2015-06-11,2,2.0,PRT,2,6,292.8148097275304,Canceled,1313741,1027066,5.0,1464.0740486376521
530,0,2015-07-18,2015-03-04,2015-07-25,2015-06-24,2,0.0,PRT,2,2,130.04105562166873,Canceled,1313753,1093858,7.0,910.2873893516811
535,0,2015-07-18,2015-02-16,2015-07-26,2015-06-01,2,0.0,PRT,2,2,246.01416723378836,Canceled,1313758,1073651,8.0,1968.1133378703069
544,0,2015-07-19,2015-03-16,2015-07-22,2015-05-23,2,0.0,PRT,2,3,250.37018921354905,Canceled,1313767,1022204,3.0,751.1105676406471
546,0,2015-07-19,2015-04-19,2015-07-23,2015-06-29,2,0.0,PRT,2,2,261.1700864361825,Canceled,1313769,1075713,4.0,1044.68034574473
548,0,2015-07-19,2014-12-31,2015-07-25,2015-06-19,1,0.0,PRT,2,2,80.44364587289915,Canceled,1313771,1021124,6.0,482.66187523739495
551,0,2015-07-19,2014-10-13,2015-07-26,2015-05-27,2,0.0,PRT,2,1,119.42613695253326,Canceled,1313774,1030255,7.0,835.9829586677328
553,0,2015-07-19,2015-04-04,2015-07-26,2015-06-17,2,0.0,PRT,2,3,314.57439589897797,Canceled,1313776,1061392,7.0,2202.020771292846
555,0,2015-07-19,2015-02-25,2015-07-26,2015-06-19,2,0.0,PRT,2,2,167.14506275198033,Canceled,1313778,1030356,7.0,1170.0154392638624
558,0,2015-07-19,2014-10-01,2015-07-25,2015-06-29,2,2.0,PRT,2,4,290.99789444175747,Canceled,1313781,1008237,6.0,1745.9873666505448
559,0,2015-07-19,2015-06-05,2015-07-25,2015-07-02,2,0.0,PRT,2,1,187.58566233378139,Canceled,1313782,1063283,6.0,1125.5139740026884
562,0,2015-07-19,2015-02-26,2015-07-27,2015-07-14,2,2.0,PRT,2,4,131.40215232181066,Canceled,1313785,1013118,8.0,1051.2172185744853
574,0,2015-07-20,2014-12-09,2015-07-24,2015-06-15,2,0.0,PRT,2,2,175.94610506594103,Canceled,1313797,1096849,4.0,703.7844202637641
576,0,2015-07-20,2015-01-12,2015-07-24,2015-06-15,2,0.0,PRT,2,2,297.27197394498063,Canceled,1313799,1003787,4.0,1189.0878957799225
577,0,2015-07-20,2015-04-12,2015-07-25,2015-06-17,2,2.0,PRT,2,4,267.34551745678357,Canceled,1313800,1095600,5.0,1336.7275872839177
579,0,2015-07-20,2015-06-05,2015-07-25,2015-06-08,2,0.0,PRT,2,2,202.06607487897588,Canceled,1313802,1072199,5.0,1010.3303743948794
580,0,2015-07-20,2014-11-24,2015-07-26,2015-06-22,2,2.0,PRT,2,4,261.2011797695738,Canceled,1313803,1032625,6.0,1567.2070786174427
582,0,2015-07-20,2015-03-11,2015-07-26,2015-06-22,2,0.0,PRT,2,2,213.22148988032004,Canceled,1313805,1098985,6.0,1279.3289392819202
584,0,2015-07-20,2014-11-14,2015-07-27,2015-07-20,2,1.0,PRT,0,5,239.86064956785694,Canceled,1313807,1087580,7.0,1679.0245469749987
589,0,2015-07-20,2015-02-21,2015-07-27,2015-05-11,2,1.0,PRT,0,1,218.5588077657135,Canceled,1313812,1015691,7.0,1529.9116543599946
592,0,2015-07-20,2015-04-23,2015-07-29,2015-06-02,2,0.0,PRT,2,1,68.9627689441189,Canceled,1313815,1004664,9.0,620.6649204970702
593,0,2015-07-20,2014-11-27,2015-07-29,2015-06-01,2,0.0,PRT,2,2,219.98566496001533,Canceled,1313816,1093334,9.0,1979.870984640138
597,0,2015-07-20,2015-06-21,2015-07-31,2015-07-14,2,0.0,PRT,2,1,316.9666169398672,Canceled,1313820,1016553,11.0,3486.6327863385395
598,0,2015-07-20,2015-03-04,2015-07-31,2015-07-14,2,0.0,PRT,2,1,206.06664779665036,Canceled,1313821,1039363,11.0,2266.733125763154
599,0,2015-07-21,2014-10-14,2015-07-23,2015-07-08,2,0.0,PRT,2,3,218.19495518479806,Canceled,1313822,1097680,2.0,436.3899103695961
601,0,2015-07-21,2014-09-09,2015-07-24,2015-06-01,2,0.0,PRT,2,1,137.96577942237897,Canceled,1313824,1059625,3.0,413.8973382671369
602,0,2015-07-21,2014-10-20,2015-07-25,2015-06-19,2,2.0,PRT,2,4,217.01481799611616,Canceled,1313825,1064715,4.0,868.0592719844647
612,0,2015-07-22,2015-01-17,2015-07-26,2015-04-22,2,0.0,PRT,2,1,97.9520584115481,Canceled,1313835,1000224,4.0,391.8082336461924
615,0,2015-07-22,2015-02-18,2015-07-26,2015-06-09,2,2.0,PRT,2,4,317.7949347303156,Canceled,1313838,1106191,4.0,1271.1797389212625
616,0,2015-07-22,2014-09-07,2015-07-26,2015-06-09,2,0.0,PRT,2,2,107.81974399214917,Canceled,1313839,1074440,4.0,431.2789759685967
617,0,2015-07-22,2015-04-11,2015-07-27,2015-06-29,2,0.0,PRT,2,2,190.3906814671874,Canceled,1313840,1071621,5.0,951.953407335937
622,0,2015-07-23,2015-04-30,2015-07-24,2015-06-05,1,0.0,PRT,0,1,128.38998875190498,Canceled,1313845,1058234,1.0,128.38998875190498
625,0,2015-07-23,2015-02-28,2015-07-26,2015-06-19,2,0.0,PRT,2,2,128.20952809993636,Canceled,1313848,1075409,3.0,384.62858429980906
628,0,2015-07-23,2015-06-12,2015-07-27,2015-07-07,2,0.0,PRT,0,3,164.56384226374493,Canceled,1313851,1029753,4.0,658.2553690549797
630,0,2015-07-23,2015-02-16,2015-07-29,2015-07-04,2,0.0,PRT,2,3,81.1281205990751,Canceled,1313853,1094917,6.0,486.76872359445065
631,0,2015-07-23,2015-04-29,2015-07-27,2015-07-06,2,0.0,PRT,2,2,190.6480840968437,Canceled,1313854,1077626,4.0,762.5923363873748
635,0,2015-07-24,2015-02-19,2015-07-25,2015-07-22,2,0.0,PRT,0,1,132.66588290338782,Canceled,1313858,1103689,1.0,132.66588290338782
641,0,2015-07-24,2015-03-16,2015-07-26,2015-07-14,2,2.0,PRT,2,4,264.6033666870134,Canceled,1313864,1031042,2.0,529.2067333740268
644,0,2015-07-24,2015-05-22,2015-07-26,2015-07-06,2,0.0,PRT,2,2,157.4755784487865,Canceled,1313867,1105893,2.0,314.951156897573
645,0,2015-07-24,2015-04-08,2015-07-26,2015-07-01,2,0.0,PRT,2,3,178.3808330719748,Canceled,1313868,1055805,2.0,356.7616661439496
649,0,2015-07-24,2015-03-25,2015-07-27,2015-06-17,2,0.0,PRT,2,1,89.42531851140382,Canceled,1313872,1013796,3.0,268.27595553421145
650,0,2015-07-24,2015-04-29,2015-07-28,2015-06-18,2,0.0,PRT,2,2,47.03398080192634,Canceled,1313873,1095821,4.0,188.13592320770536
652,0,2015-07-24,2015-02-23,2015-07-28,2015-06-08,2,0.0,PRT,2,1,268.85174717214886,Canceled,1313875,1009146,4.0,1075.4069886885954
657,0,2015-07-24,2015-06-06,2015-07-31,2015-07-14,2,0.0,PRT,2,1,118.63080976813765,Canceled,1313880,1046871,7.0,830.4156683769636
658,0,2015-07-24,2014-09-28,2015-07-31,2015-04-22,2,0.0,PRT,2,1,267.5961801283776,Canceled,1313881,1092586,7.0,1873.1732608986433
659,0,2015-07-24,2015-04-20,2015-08-01,2015-05-25,2,2.0,PRT,2,6,55.28469412566247,Canceled,1313882,1020498,8.0,442.27755300529975
663,0,2015-07-24,2015-05-21,2015-08-03,2015-06-26,2,0.0,PRT,2,1,175.51439865809346,Canceled,1313886,1026774,10.0,1755.1439865809346
664,0,2015-07-24,2015-06-21,2015-08-07,2015-07-21,3,0.0,PRT,2,1,159.6080007592231,Canceled,1313887,1028890,14.0,2234.5120106291233
672,0,2015-07-25,2015-06-01,2015-07-27,2015-07-14,2,0.0,PRT,2,1,160.4789876180919,Canceled,1313895,1055896,2.0,320.9579752361838
673,0,2015-07-25,2015-01-08,2015-07-27,2015-07-10,2,0.0,PRT,2,1,217.25113707887562,Canceled,1313896,1038426,2.0,434.50227415775123
674,0,2015-07-25,2015-03-11,2015-07-27,2015-07-23,2,0.0,PRT,0,1,225.86059938906382,Canceled,1313897,1018174,2.0,451.72119877812764
685,0,2015-07-25,2014-04-10,2015-07-31,2015-06-02,2,0.0,PRT,2,1,105.8325098025831,Canceled,1313908,1066759,6.0,634.9950588154986
688,0,2015-07-25,2014-12-09,2015-08-01,2015-06-27,2,0.0,PRT,2,1,182.35556146549567,Canceled,1313911,1049542,7.0,1276.4889302584697
689,0,2015-07-25,2014-12-29,2015-08-01,2015-05-12,2,0.0,PRT,2,1,413.14539693983886,Canceled,1313912,1038854,7.0,2892.017778578872
690,0,2015-07-25,2015-03-16,2015-08-01,2015-04-17,2,0.0,PRT,2,1,77.23785164223392,Canceled,1313913,1034954,7.0,540.6649614956375
694,0,2015-07-25,2015-04-02,2015-08-02,2015-07-03,1,0.0,PRT,0,1,154.42604679206335,Canceled,1313917,1016572,8.0,1235.4083743365068
697,0,2015-07-25,2015-01-03,2015-08-03,2015-06-29,2,0.0,PRT,2,1,176.2059508496321,Canceled,1313920,1032544,9.0,1585.8535576466888
702,0,2015-07-25,2014-11-26,2015-08-08,2015-07-03,2,0.0,PRT,2,1,157.90343246445843,Canceled,1313925,1063093,14.0,2210.648054502418
706,0,2015-07-25,2015-04-01,2015-08-01,2015-06-08,2,0.0,PRT,2,3,333.5157263026918,Canceled,1313929,1002136,7.0,2334.6100841188427
707,0,2015-07-26,2014-05-29,2015-07-30,2015-05-15,2,0.0,PRT,2,2,192.44820892837166,Canceled,1313930,1011181,4.0,769.7928357134866
708,0,2015-07-26,2014-12-21,2015-07-31,2015-06-18,2,0.0,PRT,2,1,151.1385889855845,Canceled,1313931,1057437,5.0,755.6929449279226
711,0,2015-07-26,2015-04-05,2015-08-01,2015-06-03,2,1.0,PRT,2,1,115.05277186098768,Canceled,1313934,1076679,6.0,690.3166311659261
712,0,2015-07-26,2014-09-13,2015-08-01,2015-06-25,2,0.0,PRT,2,3,81.21663731302641,Canceled,1313935,1043992,6.0,487.29982387815846
715,0,2015-07-26,2015-06-11,2015-08-01,2015-06-25,2,0.0,PRT,2,3,229.884649904977,Canceled,1313938,1077041,6.0,1379.3078994298621
719,0,2015-07-26,2015-03-04,2015-08-03,2015-06-17,2,0.0,PRT,2,1,199.082163441386,Canceled,1313942,1099119,8.0,1592.657307531088
723,0,2015-07-27,2014-04-22,2015-07-29,2015-07-03,2,2.0,PRT,2,6,301.4393790837352,Canceled,1313946,1016356,2.0,602.8787581674704
725,0,2015-07-27,2015-02-19,2015-07-29,2015-07-03,2,2.0,PRT,2,4,407.8362012142394,Canceled,1313948,1086310,2.0,815.6724024284788
727,0,2015-07-27,2015-02-15,2015-07-29,2015-06-15,2,0.0,PRT,2,2,194.02125209797921,Canceled,1313950,1007770,2.0,388.04250419595843
742,0,2015-07-27,2015-03-29,2015-07-31,2015-05-09,2,0.0,PRT,2,1,212.16315468709968,Canceled,1313965,1057239,4.0,848.6526187483987
744,0,2015-07-27,2015-06-01,2015-07-31,2015-06-17,2,0.0,PRT,2,3,197.4344853912513,Canceled,1313967,1044783,4.0,789.7379415650051
748,0,2015-07-27,2015-02-21,2015-08-01,2015-06-25,2,0.0,PRT,2,1,84.67581066913401,Canceled,1313971,1032312,5.0,423.37905334567006
750,0,2015-07-27,2014-11-30,2015-08-01,2015-07-06,2,0.0,PRT,2,1,224.18268022968866,Canceled,1313973,1100278,5.0,1120.9134011484432
751,0,2015-07-27,2015-02-06,2015-08-02,2015-03-17,3,0.0,PRT,2,1,203.86932417469222,Canceled,1313974,1035299,6.0,1223.2159450481533
754,0,2015-07-27,2015-03-29,2015-08-03,2015-05-13,2,0.0,PRT,2,3,343.65365688608,Canceled,1313977,1102137,7.0,2405.57559820256
755,0,2015-07-27,2015-03-05,2015-08-03,2015-05-13,2,0.0,PRT,2,4,187.8998580717071,Canceled,1313978,1028231,7.0,1315.2990065019496
756,0,2015-07-27,2015-01-09,2015-08-03,2015-05-13,2,0.0,PRT,2,1,151.58640126936243,Canceled,1313979,1082467,7.0,1061.104808885537
757,0,2015-07-27,2014-12-09,2015-08-03,2015-05-13,2,0.0,PRT,2,3,175.16360621332055,Canceled,1313980,1002352,7.0,1226.145243493244
764,0,2015-07-28,2015-03-25,2015-07-31,2015-07-27,2,0.0,PRT,2,2,160.46949894280712,Canceled,1313987,1019450,3.0,481.40849682842133
769,0,2015-07-28,2014-10-07,2015-08-02,2015-07-16,2,0.0,PRT,2,2,262.2878371259135,Canceled,1313992,1047516,5.0,1311.4391856295674
772,0,2015-07-28,2014-10-22,2015-08-05,2015-05-22,2,0.0,PRT,2,2,137.46207705551672,Canceled,1313995,1104241,8.0,1099.6966164441337
775,0,2015-07-29,2015-02-25,2015-08-02,2015-04-04,2,0.0,PRT,2,1,95.77604899316431,Canceled,1313998,1078500,4.0,383.10419597265724
777,0,2015-07-29,2015-04-11,2015-08-03,2015-07-02,2,0.0,PRT,2,2,311.6146422804189,Canceled,1314000,1090204,5.0,1558.0732114020943
783,0,2015-07-29,2015-07-02,2015-08-03,2015-07-27,2,0.0,PRT,2,1,167.0346732501457,Canceled,1314006,1011765,5.0,835.1733662507285
786,0,2015-07-29,2014-11-13,2015-08-03,2015-05-23,2,0.0,PRT,2,1,179.53045326248943,Canceled,1314009,1084573,5.0,897.6522663124472
787,0,2015-07-29,2015-04-25,2015-08-03,2015-07-10,2,0.0,PRT,2,2,226.1353684278182,Canceled,1314010,1082254,5.0,1130.6768421390911
790,0,2015-07-29,2015-05-17,2015-08-05,2015-06-05,2,0.0,PRT,2,2,91.9287208363911,Canceled,1314013,1030634,7.0,643.5010458547376
793,0,2015-07-29,2014-09-16,2015-08-06,2015-06-17,2,0.0,PRT,2,1,116.10682636598172,Canceled,1314016,1030629,8.0,928.8546109278537
796,0,2015-07-30,2014-09-11,2015-07-31,2015-07-30,1,0.0,PRT,1,1,200.54628111458368,Canceled,1314019,1012040,1.0,200.54628111458368
