,reservation_id,stay_date,guest_id,guest_country_id,reservation_status,reservation_date,date_from,date_to,resort_id,cancel_date,room_cnt,adult_cnt,children_cnt,price,price_tax,total_price_tax,total_price,food_price,food_price_tax,other_price,other_price_tax,room_category_id,sales_channel_id,stay_nights,price_per_night,guest_count,nightly_price_per_guest
34,74524,2008-01-03,106498,BR,Checked-out,2008-01-03,2008-01-03,2008-01-04,1,,2,4,0,13373.6,1337.36,1462.19,15343.87,1247.57,124.83,722.7,0.0,5,3.0,1.0,13373.6,4,3343.4
35,74406,2008-01-03,23589,I,Checked-out,2007-12-22,2008-01-03,2008-01-05,1,,1,1,0,8129.353,813.001,1163.255,10125.1,623.858,62.342,1371.889,287.912,3,1.0,2.0,4064.6765,1,4064.6765
36,74487,2008-01-03,38936,GB,Checked-out,2008-01-01,2008-01-03,2008-01-04,1,,1,2,0,415.9,41.59,67.0,861.49,253.97,25.41,191.62,0.0,5,3.0,1.0,415.9,2,207.95
37,74385,2008-01-03,23589,I,Checked-out,2007-12-21,2008-01-03,2008-01-05,1,,1,1,0,8129.353,813.001,1163.255,10125.1,623.858,62.342,1371.889,287.912,2,9.0,2.0,4064.6765,1,4064.6765
38,74486,2008-01-03,87510,HR,Checked-out,2008-01-01,2008-01-03,2008-01-08,1,,1,1,0,4756.826,475.668,506.839,5112.555,311.929,31.171,43.8,0.0,3,10.0,5.0,951.3652,1,951.3652
39,74505,2008-01-03,105204,F,Checked-out,2008-01-03,2008-01-03,2008-01-09,1,,1,1,0,6023.96,602.396,633.567,6379.689,311.929,31.171,43.8,0.0,2,3.0,6.0,1003.9933333333333,1,1003.9933333333333
40,74508,2008-01-03,106488,HR,Checked-out,2008-01-03,2008-01-03,2008-01-04,1,,1,2,0,5273.374,527.352,681.893,6403.633,623.785,62.415,506.474,92.126,5,4.0,1.0,5273.374,2,2636.687
41,74538,2008-01-04,105650,HR,Checked-out,2008-01-04,2008-01-04,2008-01-05,1,,1,1,0,816.36,81.64,85.91,865.09,42.73,4.27,6.0,0.0,2,4.0,1.0,816.36,1,816.36
46,74550,2008-01-04,72655,HR,Checked-out,2008-01-04,2008-01-04,2008-01-05,1,,1,2,0,946.36,94.64,103.19,1043.81,85.45,8.55,12.0,0.0,6,4.0,1.0,946.36,2,473.18
47,74291,2008-01-04,73430,HR,Checked-out,2007-12-18,2008-01-04,2008-01-05,1,,1,2,0,4106.323,410.625,473.04,4817.708,623.785,62.415,87.6,0.0,6,2.0,1.0,4106.323,2,2053.1615
48,74548,2008-01-04,106518,I,Checked-out,2008-01-04,2008-01-04,2008-01-05,1,,1,2,0,946.36,94.64,103.19,1533.81,85.45,8.55,502.0,0.0,6,3.0,1.0,946.36,2,473.18
50,73854,2008-01-04,77641,HR,Checked-out,2007-12-04,2008-01-04,2008-01-07,1,,2,4,0,1980.052,197.976,322.806,3432.022,1247.57,124.83,204.4,0.0,5,10.0,3.0,660.0173333333333,4,165.00433333333334
51,74540,2008-01-04,101839,HR,Checked-out,2008-01-04,2008-01-04,2008-01-05,1,,1,2,0,5276.659,527.644,590.059,5988.044,623.785,62.415,87.6,0.0,7,4.0,1.0,5276.659,2,2638.3295
54,74547,2008-01-04,103606,HR,Checked-out,2008-01-04,2008-01-04,2008-01-05,1,,1,1,0,816.36,81.64,85.91,865.09,42.73,4.27,6.0,0.0,6,4.0,1.0,816.36,1,816.36
56,74551,2008-01-04,62670,AUT,Checked-out,2008-01-04,2008-01-04,2008-01-05,1,,1,2,0,5276.659,527.644,590.059,5988.044,623.785,62.415,87.6,0.0,6,3.0,1.0,5276.659,2,2638.3295
57,74522,2008-01-04,106493,HR,Checked-out,2008-01-03,2008-01-04,2008-01-05,1,,1,1,0,5344.695,534.506,610.937,5881.464,311.929,31.171,224.84,45.26,5,2.0,1.0,5344.695,1,5344.695
58,74527,2008-01-04,106506,HR,Checked-out,2008-01-03,2008-01-04,2008-01-05,1,,1,2,0,946.36,94.64,103.19,1043.81,85.45,8.55,12.0,0.0,6,4.0,1.0,946.36,2,473.18
62,74581,2008-01-05,106523,AUS,Checked-out,2008-01-05,2008-01-05,2008-01-06,1,,1,2,0,940.0,94.0,115.17,1094.83,85.45,8.55,69.38,12.62,6,3.0,1.0,940.0,2,470.0
63,74529,2008-01-05,100212,HR,Checked-out,2008-01-04,2008-01-05,2008-01-07,1,,1,3,0,7068.152,706.786,800.372,8113.366,935.714,93.586,109.5,0.0,5,10.0,2.0,3534.076,3,1178.0253333333333
65,74458,2008-01-05,72663,HR,Checked-out,2007-12-29,2008-01-05,2008-01-06,1,,1,1,0,2511.685,251.185,274.67,4061.2,235.015,23.485,1314.5,0.0,2,10.0,1.0,2511.685,1,2511.685
70,74578,2008-01-05,96730,HR,Checked-out,2008-01-05,2008-01-05,2008-01-06,1,,2,3,0,9752.289,975.207,1068.793,10819.403,935.714,93.586,131.4,0.0,3,4.0,1.0,9752.289,3,3250.7630000000004
74,74585,2008-01-06,60470,HR,Checked-out,2008-01-06,2008-01-06,2008-01-23,1,,1,1,0,3543.639,354.342,385.513,3899.368,311.929,31.171,43.8,0.0,2,4.0,17.0,208.44935294117647,1,208.44935294117647
79,74530,2008-01-06,81445,NL,Checked-out,2008-01-04,2008-01-06,2008-01-07,1,,1,1,0,4470.885,447.052,478.223,4826.614,311.929,31.171,43.8,0.0,2,1.0,1.0,4470.885,1,4470.885
80,74582,2008-01-06,106263,HR,Checked-out,2008-01-05,2008-01-06,2008-01-08,1,,1,1,0,18.18,1.82,2.73,33.27,9.09,0.91,6.0,0.0,5,4.0,2.0,9.09,1,9.09
81,74510,2008-01-07,106489,BEL,Checked-out,2008-01-03,2008-01-07,2008-01-08,1,,1,1,0,4470.885,447.052,570.349,5245.488,311.929,31.171,462.674,92.126,3,3.0,1.0,4470.885,1,4470.885
85,74444,2008-01-07,77641,HR,Checked-out,2007-12-28,2008-01-07,2008-01-14,1,,1,2,0,1575.413,157.534,170.82,1795.727,132.714,13.286,87.6,0.0,5,10.0,7.0,225.059,2,112.5295
91,74565,2008-01-07,27367,HR,Checked-out,2008-01-05,2008-01-07,2008-01-09,1,,1,1,0,18.18,1.82,4.12,39.58,9.09,0.91,12.31,1.39,11,10.0,2.0,9.09,1,9.09
92,74566,2008-01-07,106506,HR,Checked-out,2008-01-05,2008-01-07,2008-01-08,1,,1,2,0,946.36,94.64,103.99,1047.41,85.45,8.55,15.6,0.8,6,4.0,1.0,946.36,2,473.18
95,74541,2008-01-08,800,HR,Checked-out,2008-01-04,2008-01-08,2008-01-12,1,,3,3,0,13395.135,1339.404,1505.333,15207.506,935.787,93.513,876.584,72.416,2,10.0,4.0,3348.78375,3,1116.26125
97,74596,2008-01-08,106529,CS,Checked-out,2008-01-08,2008-01-08,2008-01-09,1,,1,1,0,4465.045,446.468,569.765,5239.648,311.929,31.171,462.674,92.126,2,3.0,1.0,4465.045,1,4465.045
99,74386,2008-01-08,23589,I,Checked-out,2007-12-21,2008-01-08,2008-01-12,1,,1,1,0,4465.045,446.468,477.639,4820.774,311.929,31.171,43.8,0.0,2,9.0,4.0,1116.26125,1,1116.26125
101,74437,2008-01-08,619,HR,Checked-out,2007-12-28,2008-01-08,2008-01-09,1,,1,1,0,4913.484,491.436,677.075,6399.545,935.787,93.513,550.274,92.126,2,10.0,1.0,4913.484,1,4913.484
104,74583,2008-01-08,105204,F,Checked-out,2008-01-05,2008-01-08,2008-01-27,1,,1,1,0,16807.155,1680.679,2047.723,19117.751,935.787,93.513,1374.809,273.531,3,3.0,19.0,884.5871052631578,1,884.5871052631578
106,74403,2008-01-08,1743,HR,Checked-out,2007-12-22,2008-01-08,2008-01-11,1,,1,1,0,3197.692,319.74,350.911,3553.421,311.929,31.171,43.8,0.0,2,10.0,3.0,1065.8973333333333,1,1065.8973333333333
107,74602,2008-01-08,89165,HR,Checked-out,2008-01-08,2008-01-08,2008-01-09,1,,1,1,0,4465.045,446.468,477.639,4820.774,311.929,31.171,43.8,0.0,7,4.0,1.0,4465.045,1,4465.045
109,74579,2008-01-08,6601,HR,Checked-out,2008-01-05,2008-01-08,2008-01-12,1,,1,1,0,4465.045,446.468,477.639,4820.774,311.929,31.171,43.8,0.0,3,10.0,4.0,1116.26125,1,1116.26125
111,74594,2008-01-08,13614,HR,Checked-out,2008-01-08,2008-01-08,2008-01-09,1,,1,1,0,4465.045,446.468,477.639,4820.774,311.929,31.171,43.8,0.0,3,10.0,1.0,4465.045,1,4465.045
112,74567,2008-01-08,55949,HR,Checked-out,2008-01-05,2008-01-08,2008-01-09,1,,1,1,0,823.64,82.36,90.9,921.1,85.46,8.54,12.0,0.0,2,2.0,1.0,823.64,1,823.64
116,74577,2008-01-08,55949,HR,Checked-out,2008-01-05,2008-01-08,2008-01-10,1,,1,1,0,823.64,82.36,90.9,921.1,85.46,8.54,12.0,0.0,2,2.0,2.0,411.82,1,411.82
117,74601,2008-01-08,105459,HR,Checked-out,2008-01-08,2008-01-08,2008-01-12,1,,1,1,0,4440.663,444.059,475.23,4796.392,311.929,31.171,43.8,0.0,3,10.0,4.0,1110.16575,1,1110.16575
119,74518,2008-01-08,619,HR,Checked-out,2008-01-03,2008-01-08,2008-01-13,1,,2,2,0,4913.484,491.436,677.075,6399.545,935.787,93.513,550.274,92.126,2,10.0,5.0,982.6968,2,491.3484
122,74515,2008-01-08,75773,HR,Checked-out,2008-01-03,2008-01-08,2008-01-10,1,,1,1,0,4465.045,446.468,477.639,4820.774,311.929,31.171,43.8,0.0,2,10.0,2.0,2232.5225,1,2232.5225
126,74563,2008-01-09,105028,HR,Checked-out,2008-01-05,2008-01-09,2008-01-10,1,,2,2,0,10791.59,1079.232,1141.574,11503.048,623.858,62.342,87.6,0.0,2,10.0,1.0,10791.59,2,5395.795
127,74625,2008-01-09,23589,I,Checked-out,2008-01-09,2008-01-09,2008-01-11,1,,1,1,0,7341.975,734.234,1022.073,10121.596,623.858,62.342,2155.763,225.497,3,1.0,2.0,3670.9875,1,3670.9875
128,74619,2008-01-09,45877,HR,Checked-out,2008-01-09,2008-01-09,2008-01-11,1,,1,1,0,4468.914,446.906,478.077,5770.723,311.929,31.171,989.88,0.0,2,10.0,2.0,2234.457,1,2234.457
129,74580,2008-01-09,104441,HR,Checked-out,2008-01-05,2008-01-09,2008-01-10,1,,3,3,0,16187.385,1618.848,1712.361,17254.572,935.787,93.513,131.4,0.0,3,3.0,1.0,16187.385,3,5395.795
130,74644,2008-01-09,106556,I,Checked-out,2008-01-09,2008-01-09,2008-01-10,1,,2,2,0,12060.038,1205.96,1268.302,12771.496,623.858,62.342,87.6,0.0,6,3.0,1.0,12060.038,2,6030.019
131,74630,2008-01-09,149866,HR,Checked-out,2008-01-09,2008-01-09,2008-01-16,1,,1,1,0,13406.742,1340.718,1434.231,14473.929,935.787,93.513,131.4,0.0,3,10.0,7.0,1915.248857142857,1,1915.248857142857
132,74618,2008-01-09,57758,I,Checked-out,2008-01-09,2008-01-09,2008-01-11,1,,3,3,0,13406.742,1340.718,1565.85,15072.31,935.787,93.513,729.781,131.619,3,3.0,2.0,6703.371,3,2234.457
133,74552,2008-01-09,619,HR,Checked-out,2008-01-05,2008-01-09,2008-01-13,1,,1,1,0,6557.736,655.832,793.656,8040.512,1247.716,124.684,235.06,13.14,2,10.0,4.0,1639.434,1,1639.434
134,74571,2008-01-09,20208,HR,Checked-out,2008-01-05,2008-01-09,2008-01-12,1,,1,1,0,4468.914,446.906,478.077,4824.643,311.929,31.171,43.8,0.0,3,10.0,3.0,1489.638,1,1489.638
136,74597,2008-01-09,619,HR,Checked-out,2008-01-08,2008-01-09,2008-01-11,1,,1,1,0,6557.736,655.832,793.656,8040.512,1247.716,124.684,235.06,13.14,2,10.0,2.0,3278.868,1,3278.868
141,74572,2008-01-09,4965,HR,Checked-out,2008-01-05,2008-01-09,2008-01-11,1,,1,1,0,9747.909,974.842,1068.428,11691.023,935.714,93.586,1007.4,0.0,3,10.0,2.0,4873.9545,1,4873.9545
142,74542,2008-01-09,29206,HR,Checked-out,2008-01-04,2008-01-09,2008-01-10,1,,3,3,0,13406.742,1340.718,1434.231,14473.929,935.787,93.513,131.4,0.0,2,10.0,1.0,13406.742,3,4468.914
143,74606,2008-01-09,20168,HR,Checked-out,2008-01-08,2008-01-09,2008-01-12,1,,1,1,0,2859.045,285.941,317.112,3214.774,311.929,31.171,43.8,0.0,5,9.0,3.0,953.015,1,953.015
151,74590,2008-01-09,4965,HR,Checked-out,2008-01-08,2008-01-09,2008-01-10,1,,1,2,0,9747.909,974.842,1068.428,11691.023,935.714,93.586,1007.4,0.0,5,10.0,1.0,9747.909,2,4873.9545
156,74617,2008-01-09,105459,HR,Checked-out,2008-01-09,2008-01-09,2008-01-12,1,,3,4,0,23130.269,2313.078,2584.127,25646.36,1871.501,187.099,644.59,83.95,5,10.0,3.0,7710.089666666667,4,1927.5224166666667
160,74637,2008-01-09,4747,AUT,Checked-out,2008-01-09,2008-01-09,2008-01-10,1,,2,2,0,8937.828,893.812,956.154,9649.286,623.858,62.342,87.6,0.0,3,3.0,1.0,8937.828,2,4468.914
161,74562,2008-01-09,104218,HR,Checked-out,2008-01-05,2008-01-09,2008-01-10,1,,1,1,0,4468.914,446.906,478.077,4824.643,311.929,31.171,43.8,0.0,3,10.0,1.0,4468.914,1,4468.914
163,74642,2008-01-09,102748,HR,Checked-out,2008-01-09,2008-01-09,2008-01-10,1,,1,1,0,816.36,81.64,85.91,865.09,42.73,4.27,6.0,0.0,6,4.0,1.0,816.36,1,816.36
166,74666,2008-01-10,104011,I,Checked-out,2008-01-10,2008-01-10,2008-01-11,1,,1,2,0,946.36,94.64,103.19,1043.81,85.45,8.55,12.0,0.0,6,3.0,1.0,946.36,2,473.18
167,74623,2008-01-10,72149,D,Checked-out,2008-01-09,2008-01-10,2008-01-11,1,,2,2,0,8939.142,893.958,956.3,9650.6,623.858,62.342,87.6,0.0,3,9.0,1.0,8939.142,2,4469.571
171,74674,2008-01-10,4747,AUT,Checked-out,2008-01-10,2008-01-10,2008-01-11,1,,2,2,0,8939.142,893.958,1000.1,9825.8,623.858,62.342,262.8,43.8,3,3.0,1.0,8939.142,2,4469.571
172,74628,2008-01-10,106538,HR,Checked-out,2008-01-09,2008-01-10,2008-01-11,1,,2,2,0,2578.2,257.8,274.88,2773.12,170.92,17.08,24.0,0.0,3,3.0,1.0,2578.2,2,1289.1
175,74629,2008-01-10,105204,F,Checked-out,2008-01-09,2008-01-10,2008-01-14,1,,1,2,0,11944.99,1194.499,1550.155,14488.164,935.714,93.586,1607.46,262.07,5,3.0,4.0,2986.2475,2,1493.12375
176,74627,2008-01-10,106538,HR,Checked-out,2008-01-09,2008-01-10,2008-01-11,1,,2,2,0,2578.2,257.8,274.88,2773.12,170.92,17.08,24.0,0.0,3,3.0,1.0,2578.2,2,1289.1
177,74626,2008-01-10,92809,SGP,Checked-out,2008-01-09,2008-01-10,2008-01-11,1,,1,2,0,2029.005,202.895,249.92,2564.98,469.975,47.025,66.0,0.0,5,10.0,1.0,2029.005,2,1014.5025
185,74586,2008-01-10,72663,HR,Checked-out,2008-01-06,2008-01-10,2008-01-11,1,,1,1,0,2513.885,251.405,274.89,2781.9,235.015,23.485,33.0,0.0,2,10.0,1.0,2513.885,1,2513.885
188,74591,2008-01-10,42306,I,Checked-out,2008-01-08,2008-01-10,2008-01-11,1,,1,1,0,4469.571,446.979,576.627,5272.863,311.929,31.171,491.363,98.477,2,3.0,1.0,4469.571,1,4469.571
190,74678,2008-01-10,106571,CDN,Checked-out,2008-01-10,2008-01-10,2008-01-11,1,,1,2,0,946.36,94.64,103.19,1043.81,85.45,8.55,12.0,0.0,6,3.0,1.0,946.36,2,473.18
193,74634,2008-01-10,16525,HR,Checked-out,2008-01-09,2008-01-10,2008-01-11,1,,1,1,0,4469.571,446.979,478.15,4825.3,311.929,31.171,43.8,0.0,3,10.0,1.0,4469.571,1,4469.571
195,74621,2008-01-10,62982,HR,Checked-out,2008-01-09,2008-01-10,2008-01-13,1,,2,2,0,12061.79,1206.106,1268.448,12773.248,623.858,62.342,87.6,0.0,3,10.0,3.0,4020.596666666667,2,2010.2983333333334
200,74614,2008-01-10,81445,NL,Checked-out,2008-01-09,2008-01-10,2008-01-11,1,,1,1,0,4469.571,446.979,478.15,4825.3,311.929,31.171,43.8,0.0,2,1.0,1.0,4469.571,1,4469.571
201,74573,2008-01-10,106493,HR,Checked-out,2008-01-05,2008-01-10,2008-01-12,1,,3,3,0,13502.007,1350.135,1712.361,17366.481,935.787,93.513,2928.687,268.713,2,2.0,2.0,6751.0035,3,2250.3345
208,74405,2008-01-10,93163,HR,Checked-out,2007-12-22,2008-01-10,2008-01-12,1,,3,3,0,8451.21,845.194,999.662,9581.542,623.858,62.342,506.474,92.126,3,3.0,2.0,4225.605,3,1408.5349999999999
209,74698,2008-01-11,106586,HR,Checked-out,2008-01-11,2008-01-11,2008-01-12,1,,1,1,0,989.09,98.91,107.18,1053.82,42.73,4.27,22.0,4.0,6,4.0,1.0,989.09,1,989.09
210,74685,2008-01-11,92809,SGP,Checked-out,2008-01-11,2008-01-11,2008-01-12,1,,1,1,0,1766.71,176.66,200.145,3409.725,235.015,23.485,1408.0,0.0,3,10.0,1.0,1766.71,1,1766.71
211,74677,2008-01-11,105662,I,Checked-out,2008-01-10,2008-01-11,2008-01-14,1,,1,1,0,4467.162,446.687,477.858,7268.391,311.929,31.171,2489.3,0.0,3,3.0,3.0,1489.054,1,1489.054
214,73606,2008-01-11,44181,HR,Checked-out,2007-11-23,2008-01-11,2008-01-13,1,,1,1,0,2614.057,261.413,292.584,2969.786,311.929,31.171,43.8,0.0,2,2.0,2.0,1307.0285,1,1307.0285
215,74641,2008-01-11,45877,HR,Checked-out,2008-01-09,2008-01-11,2008-01-12,1,,1,1,0,4467.162,446.687,477.858,4968.891,311.929,31.171,189.8,0.0,2,10.0,1.0,4467.162,1,4467.162
216,74643,2008-01-11,148498,HR,Checked-out,2008-01-09,2008-01-11,2008-01-13,1,,1,1,0,3345.517,334.559,365.73,3701.246,311.929,31.171,43.8,0.0,2,4.0,2.0,1672.7585,1,1672.7585
221,74652,2008-01-11,75773,HR,Checked-out,2008-01-10,2008-01-11,2008-01-12,1,,1,1,0,4467.162,446.687,477.858,6119.371,311.929,31.171,1340.28,0.0,2,10.0,1.0,4467.162,1,4467.162
222,74705,2008-01-11,21909,I,Checked-out,2008-01-11,2008-01-11,2008-01-12,1,,1,1,0,4467.162,446.687,569.984,7887.285,311.929,31.171,3108.194,92.126,5,3.0,1.0,4467.162,1,4467.162
232,74696,2008-01-11,560,HR,Checked-out,2008-01-11,2008-01-11,2008-01-12,1,,1,1,0,816.36,81.64,85.91,865.09,42.73,4.27,6.0,0.0,6,4.0,1.0,816.36,1,816.36
233,74706,2008-01-11,106590,HR,Checked-out,2008-01-11,2008-01-11,2008-01-12,1,,1,2,0,946.36,94.64,103.19,1043.81,85.45,8.55,12.0,0.0,6,4.0,1.0,946.36,2,473.18
237,74656,2008-01-11,66644,HR,Checked-out,2008-01-10,2008-01-11,2008-01-12,1,,1,1,0,4467.162,446.687,477.858,4822.891,311.929,31.171,43.8,0.0,2,10.0,1.0,4467.162,1,4467.162
238,74539,2008-01-11,38936,GB,Checked-out,2008-01-04,2008-01-11,2008-01-12,1,,1,2,0,3038.26,303.826,366.241,3764.245,623.785,62.415,102.2,0.0,5,3.0,1.0,3038.26,2,1519.13
246,74599,2008-01-11,75366,HR,Checked-out,2008-01-08,2008-01-11,2008-01-12,1,,4,4,0,17552.704,0.0,0.0,19433.184,1372.4,0.0,508.08,0.0,2,9.0,1.0,17552.704,4,4388.176
247,74454,2008-01-12,78342,HR,Checked-out,2007-12-29,2008-01-12,2008-01-13,1,,1,1,0,6022.208,602.25,633.421,6377.937,311.929,31.171,43.8,0.0,3,4.0,1.0,6022.208,1,6022.208
256,74658,2008-01-12,619,HR,Checked-out,2008-01-10,2008-01-12,2008-01-13,1,,2,3,0,8360.544,836.142,1023.241,10837.945,1871.501,187.099,605.9,0.0,5,10.0,1.0,8360.544,3,2786.848
259,74608,2008-01-12,91275,HR,Checked-out,2008-01-08,2008-01-12,2008-01-14,1,,2,4,0,1829.1,182.9,200.0,2024.0,170.9,17.1,24.0,0.0,6,10.0,2.0,914.55,4,228.6375
261,74655,2008-01-12,63081,HR,Checked-out,2008-01-10,2008-01-12,2008-01-20,1,,1,1,0,4219.473,421.94,577.576,5141.317,311.929,31.171,609.915,124.465,4,3.0,8.0,527.434125,1,527.434125
264,74715,2008-01-12,77894,HR,Checked-out,2008-01-12,2008-01-12,2008-01-13,1,,1,1,0,765.77,76.58,80.85,814.5,42.73,4.27,6.0,0.0,6,4.0,1.0,765.77,1,765.77
266,74734,2008-01-12,80771,I,Checked-out,2008-01-12,2008-01-12,2008-01-13,1,,1,2,0,773.64,77.36,98.21,1400.99,85.45,8.55,541.9,12.3,6,3.0,1.0,773.64,2,386.82
268,74638,2008-01-12,105201,HR,Checked-out,2008-01-09,2008-01-12,2008-01-13,1,,2,2,0,1632.72,163.28,172.61,2685.79,85.46,8.54,967.61,0.79,3,10.0,1.0,1632.72,2,816.36
271,74723,2008-01-13,104175,HR,Checked-out,2008-01-12,2008-01-13,2008-01-14,1,,1,2,0,1081.495,108.186,170.601,1792.88,623.785,62.415,87.6,0.0,5,4.0,1.0,1081.495,2,540.7475
274,74546,2008-01-13,106517,HR,Checked-out,2008-01-04,2008-01-13,2008-01-14,1,,1,2,0,843.18,84.32,92.87,1114.63,85.45,8.55,186.0,0.0,6,4.0,1.0,843.18,2,421.59
275,74739,2008-01-13,92114,HR,Checked-out,2008-01-13,2008-01-13,2008-01-17,1,,1,2,0,5417.987,541.806,604.221,6129.372,623.785,62.415,87.6,0.0,7,10.0,4.0,1354.49675,2,677.248375
282,74615,2008-01-13,38936,GB,Checked-out,2008-01-09,2008-01-13,2008-01-16,1,,1,2,0,3034.975,303.534,365.949,5053.06,623.785,62.415,1394.3,0.0,5,3.0,3.0,1011.6583333333333,2,505.82916666666665
